# ----------------------------------------
# Pagine e schermate: Titolo pagina e classe schermata
# Account: www.fierabolzano.it
# Proprietà: FieraMesse GA4
# ----------------------------------------
# 
# Tutti gli utenti
# Data di inizio: 20251101
# Data di fine: 20260609
Titolo pagina e classe schermata,Sorgente/mezzo sessione,Visualizzazioni,Utenti attivi,Visualizzazioni per utente attivo,Durata media del coinvolgimento per utente attivo,Conteggio eventi,Eventi chiave,Entrate totali
BEAM | Hospitality Gamechanger Summit,social-adv / an,19883,4010,4.958354114713217,4.4608478802992515,39882,0,0
Report – BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Stories,917,536,1.710820895522388,11.666044776119403,2956,0,0
BEAM | Hospitality Gamechanger Summit,social-adv / Others,887,779,1.1386392811296533,5.609756097560975,4486,0,0
Report scaricato – BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Feed,860,561,1.5329768270944741,10.556149732620321,1709,0,0
BEAM | Hospitality Gamechanger Summit,bing / organic,851,181,4.701657458563536,401.22651933701655,16894,0,0
BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Stories,846,594,1.4242424242424243,9.006734006734007,2454,0,0
BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Reels,821,511,1.6066536203522506,7.823874755381604,2543,0,0
BEAM | Hospitality Gamechanger Summit,linkedin.com / referral,781,260,3.003846153846154,113.58076923076923,7262,0,0
BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Mobile_Reels,770,509,1.512770137524558,6.599214145383104,2284,0,0
BEAM | Hospitality Gamechanger Summit,l.instagram.com / referral,682,321,2.1246105919003115,39.06853582554517,2493,0,0
Report - BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Mobile_Feed,654,273,2.3956043956043955,13.164835164835164,2057,0,0
BEAM | Hospitality Gamechanger Summit,tophotel / display,606,269,2.2527881040892193,36.386617100371744,8517,0,0
Report scaricato – BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Mobile_Feed,576,302,1.9072847682119205,14.864238410596027,1212,0,0
Tickets – BEAM | Hospitality Gamechanger Summit,(direct) / (none),418,249,1.678714859437751,27.265060240963855,1090,0,0
Tickets - BEAM | Hospitality Gamechanger Summit,google / organic,389,103,3.7766990291262137,94.79611650485437,950,0,0
Report – BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Mobile_Reels,363,213,1.704225352112676,9.657276995305164,1145,0,0
Tickets – BEAM | Hospitality Gamechanger Summit,google / organic,343,126,2.7222222222222223,80.34126984126983,814,0,0
Social - BEAM | Hospitality Gamechanger Summit,(direct) / (none),336,97,3.463917525773196,13.896907216494846,1089,0,0
BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Stories,312,186,1.6774193548387097,7.688172043010753,915,0,0
Tickets - BEAM | Hospitality Gamechanger Summit,(direct) / (none),311,136,2.286764705882353,33.970588235294116,892,0,0
Report scaricato – BEAM | Hospitality Gamechanger Summit,(direct) / (none),305,273,1.1172161172161172,6.465201465201465,1086,0,0
Ambitious Ambassadors – BEAM | Hospitality Gamechanger Summit,(direct) / (none),303,106,2.858490566037736,31.79245283018868,664,0,0
Report - BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Stories,297,111,2.675675675675676,9.27027027027027,862,0,0
Report - BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Reels,286,114,2.508771929824561,8.763157894736842,838,0,0
Report scaricato - BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Feed,278,131,2.122137404580153,10.694656488549619,545,0,0
BEAM | Hospitality Gamechanger Summit,pambianconews / display,267,110,2.4272727272727272,114.38181818181818,17883,0,0
Partner – BEAM | Hospitality Gamechanger Summit,google / organic,244,94,2.595744680851064,97.76595744680851,672,0,0
Partner - BEAM | Hospitality Gamechanger Summit,google / organic,240,66,3.6363636363636362,100.34848484848484,598,0,0
BEAM | Hospitality Gamechanger Summit,ecosia.org / organic,231,42,5.5,362.54761904761904,32026,0,0
Partner – BEAM | Hospitality Gamechanger Summit,(direct) / (none),218,109,2,37.74311926605505,549,0,0
Ambitious Ambassadors – BEAM | Hospitality Gamechanger Summit,google / organic,212,76,2.789473684210526,84.97368421052632,604,0,0
Report – BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Desktop_Feed,208,126,1.6507936507936507,55.36507936507937,874,0,0
Report – BEAM | Hospitality Gamechanger Summit,(direct) / (none),207,118,1.7542372881355932,15.822033898305085,527,0,0
BEAM | Hospitality Gamechanger Summit,m.facebook.com / referral,201,148,1.3581081081081081,3.391891891891892,728,0,0
BEAM | Hospitality Gamechanger Summit,tourismut.com / referral,194,55,3.5272727272727273,303.72727272727275,24056,0,0
Report – BEAM | Hospitality Gamechanger Summit,fb / paid,194,103,1.883495145631068,17.29126213592233,669,0,0
BEAM | Hospitality Gamechanger Summit,facebook.com / referral,189,133,1.4210526315789473,5.037593984962406,838,0,0
Social - BEAM | Hospitality Gamechanger Summit,google / organic,183,37,4.945945945945946,36.5945945945946,537,0,0
BEAM | Hospitality Gamechanger Summit,lnkd.in / referral,182,3,60.666666666666664,3513.3333333333335,13284,0,0
BEAM | Hospitality Gamechanger Summit,advantageaustria.org / referral,180,1,180,3496,1540,0,0
BEAM | Hospitality Gamechanger Summit,(not set),175,149,1.174496644295302,81.71812080536913,42631,0,0
Labs – BEAM | Hospitality Gamechanger Summit,(direct) / (none),165,19,8.68421052631579,195.89473684210526,373,0,0
Report – BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Stories,165,96,1.71875,6.083333333333333,503,0,0
Ambitious Ambassadors - BEAM | Hospitality Gamechanger Summit,google / organic,162,72,2.25,90.83333333333333,404,0,0
Report scaricato – BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Stories,155,93,1.6666666666666667,9.290322580645162,293,0,0
BEAM | Hospitality Gamechanger Summit,statics.teams.cdn.office.net / referral,150,35,4.285714285714286,431.2,3126,0,0
BEAM | Hospitality Gamechanger Summit,gaia / (not set),147,11,13.363636363636363,596.0909090909091,1944,0,0
BEAM | Hospitality Gamechanger Summit,Brandnamic GmbH / email,144,32,4.5,172.34375,9164,0,0
BEAM | Hospitality Gamechanger Summit,mu-messages.emailsp.com / referral,139,3,46.333333333333336,4191.666666666667,2476,0,0
Report – BEAM | Hospitality Gamechanger Summit,google / organic,139,71,1.9577464788732395,40.859154929577464,342,0,0
Report – BEAM | Hospitality Gamechanger Summit,m.facebook.com / referral,137,112,1.2232142857142858,3.9285714285714284,443,0,0
BEAM | Hospitality Gamechanger Summit,nltourism / email,136,52,2.6153846153846154,332.6730769230769,4098,0,0
Report scaricato – BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Reels,136,88,1.5454545454545454,10.636363636363637,270,0,0
BEAM | Hospitality Gamechanger Summit,an / paid,133,97,1.3711340206185567,0.030927835051546393,336,0,0
BEAM | Hospitality Gamechanger Summit,tagassistant.google.com / referral,128,4,32,1367.5,1184,0,0
Labs – BEAM | Hospitality Gamechanger Summit,google / organic,121,17,7.117647058823529,248.52941176470588,263,0,0
BEAM | Hospitality Gamechanger Summit,forumfutureeconomy / email,117,37,3.1621621621621623,76.56756756756756,1826,0,0
BEAM | Hospitality Gamechanger Summit,facebook instagram / paidsocial,116,37,3.135135135135135,190.05405405405406,1378,0,0
BEAM | Hospitality Gamechanger Summit,showsbee.com / referral,115,42,2.738095238095238,40.30952380952381,631,0,0
Report scaricato - BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Mobile_Feed,110,51,2.156862745098039,11.098039215686274,233,0,0
BEAM | Hospitality Gamechanger Summit,tt-consulting / Newsletter,108,37,2.918918918918919,197.1891891891892,1820,0,0
BEAM | Hospitality Gamechanger Summit,rollin pin / display,99,50,1.98,7.16,349,0,0
Report - BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Mobile_Reels,96,38,2.526315789473684,14.68421052631579,293,0,0
BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Desktop_Feed,95,35,2.7142857142857144,428.1714285714286,4137,0,0
Teilnehmende - BEAM | Hospitality Gamechanger Summit,google / organic,91,30,3.033333333333333,107.73333333333333,186,0,0
Partner - BEAM | Hospitality Gamechanger Summit,(direct) / (none),90,47,1.9148936170212767,32.723404255319146,236,0,0
Heruntergeladener Report – BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Feed,89,75,1.1866666666666668,7.053333333333334,169,0,0
Report scaricato – BEAM | Hospitality Gamechanger Summit,fb / paid,88,46,1.9130434782608696,15.543478260869565,186,0,0
Ambitious Ambassadors - BEAM | Hospitality Gamechanger Summit,(direct) / (none),85,43,1.9767441860465116,44.76744186046512,212,0,0
Report scaricato – BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Desktop_Feed,85,41,2.073170731707317,22.170731707317074,253,0,0
BEAM | Hospitality Gamechanger Summit,ig / social,84,36,2.3333333333333335,45.80555555555556,1420,0,0
Labs - BEAM | Hospitality Gamechanger Summit,bing / organic,84,18,4.666666666666667,355.6666666666667,219,0,0
Report scaricato – BEAM | Hospitality Gamechanger Summit,(not set),81,79,1.0253164556962024,6.734177215189874,155,0,0
BEAM | Hospitality Gamechanger Summit,google / cpc,80,29,2.7586206896551726,123.75862068965517,640,0,0
Report scaricato - BEAM | Hospitality Gamechanger Summit,(direct) / (none),80,59,1.3559322033898304,8.76271186440678,269,0,0
Report - BEAM | Hospitality Gamechanger Summit,google / organic,77,34,2.264705882352941,56.11764705882353,183,0,0
Partecipanti - BEAM | Hospitality Gamechanger Summit,google / organic,75,23,3.260869565217391,122.17391304347827,175,0,0
BEAM | Hospitality Gamechanger Summit,fb / paid,72,40,1.8,18.575,186,0,0
BEAM | Hospitality Gamechanger Summit,duckduckgo / organic,70,12,5.833333333333333,265.6666666666667,284,0,0
BEAM | Hospitality Gamechanger Summit,mailup / email,69,11,6.2727272727272725,380.45454545454544,1092,0,0
Report scaricato – BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Mobile_Reels,66,43,1.5348837209302326,10.674418604651162,139,0,0
BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Notification,64,43,1.4883720930232558,0,173,0,0
Diventa Partner – BEAM | Hospitality Gamechanger Summit,google / organic,64,15,4.266666666666667,37.53333333333333,146,0,0
Comunicati stampa - BEAM | Hospitality Gamechanger Summit,google / organic,63,9,7,247.55555555555554,143,0,0
Report - BEAM | Hospitality Gamechanger Summit,social-adv / an,62,17,3.6470588235294117,3.8823529411764706,146,0,0
BEAM | Hospitality Gamechanger Summit,l.facebook.com / referral,58,24,2.4166666666666665,212.20833333333334,2579,0,0
BEAM | Hospitality Gamechanger Summit,urlsand.esvalabs.com / referral,58,16,3.625,459.3125,1262,0,0
Report - BEAM | Hospitality Gamechanger Summit,fb / paid,57,27,2.111111111111111,7.185185185185185,189,0,0
Report – BEAM | Hospitality Gamechanger Summit,social-adv / {{placement}},56,38,1.4736842105263157,20.94736842105263,217,0,0
BEAM | Hospitality Gamechanger Summit,eventsmanager.facebook.com / referral,53,1,53,1289,339,0,0
BEAM | Hospitality Gamechanger Summit,hoteldomani / display,53,17,3.1176470588235294,88.17647058823529,380,0,0
BEAM | Hospitality Gamechanger Summit,sm_fb_insta / referral,52,18,2.888888888888889,190.38888888888889,539,0,0
Report – BEAM | Hospitality Gamechanger Summit,ig / social,52,29,1.793103448275862,21.82758620689655,183,0,0
Heruntergeladener Report – BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Mobile_Feed,51,44,1.1590909090909092,7.136363636363637,98,0,0
Report - BEAM | Hospitality Gamechanger Summit,(direct) / (none),49,29,1.6896551724137931,23.551724137931036,160,0,0
Report – BEAM | Hospitality Gamechanger Summit,facebook.com / referral,46,40,1.15,4.225,179,0,0
Report scaricato - BEAM | Hospitality Gamechanger Summit,(not set),45,44,1.0227272727272727,5.318181818181818,88,0,0
Report – BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Profile_Feed,45,21,2.142857142857143,15.952380952380953,144,0,0
Tickets – BEAM | Hospitality Gamechanger Summit,linkedin.com / referral,45,14,3.2142857142857144,36.07142857142857,119,0,0
Christian Hamerle – BEAM | Hospitality Gamechanger Summit,(direct) / (none),44,4,11,70,87,0,0
Tickets - BEAM | Hospitality Gamechanger Summit,pambianconews / digitalpr,44,15,2.933333333333333,48.666666666666664,139,0,0
BEAM | Hospitality Gamechanger Summit,gcgo3.r.sp1-brevo.net / referral,43,16,2.6875,255.5625,11851,0,0
BEAM | Hospitality Gamechanger Summit,chatgpt.com / referral,42,19,2.210526315789474,268,1017,0,0
BEAM | Hospitality Gamechanger Summit,ff / display,42,19,2.210526315789474,139.89473684210526,438,0,0
BEAM | Hospitality Gamechanger Summit,newsletter / email,42,25,1.68,30.36,155,0,0
Footer BEAM – BEAM | Hospitality Gamechanger Summit,(direct) / (none),42,4,10.5,55.5,105,0,0
Heruntergeladener Report – BEAM | Hospitality Gamechanger Summit,(direct) / (none),42,35,1.2,7.2,140,0,0
Tickets - BEAM | Hospitality Gamechanger Summit,bing / organic,40,10,4,76.4,104,0,0
Diventa Partner – BEAM | Hospitality Gamechanger Summit,(direct) / (none),39,26,1.5,12.307692307692308,80,0,0
Labs - BEAM | Hospitality Gamechanger Summit,linkedin.com / referral,38,5,7.6,141.2,74,0,0
BEAM | Hospitality Gamechanger Summit,checkout.stripe.com / referral,37,22,1.6818181818181819,135.6818181818182,864,0,0
Report scaricato - BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Stories,36,15,2.4,11.666666666666666,70,0,0
Ambitious Ambassadors – BEAM | Hospitality Gamechanger Summit,linkedin.com / referral,35,5,7,103.2,72,0,0
BEAM | Hospitality Gamechanger Summit,chatgpt.com / (not set),35,13,2.6923076923076925,183.30769230769232,456,0,0
Report - BEAM | Hospitality Gamechanger Summit,facebook.com / referral,34,16,2.125,9.25,120,0,0
Labs - BEAM | Hospitality Gamechanger Summit,lnkd.in / referral,33,2,16.5,520.5,78,0,0
Labs - BEAM | Hospitality Gamechanger Summit,mu-messages.emailsp.com / referral,33,1,33,644,73,0,0
Labs - BEAM | Hospitality Gamechanger Summit,checkout.stripe.com / referral,32,13,2.4615384615384617,134.76923076923077,75,0,0
Labs - BEAM | Hospitality Gamechanger Summit,gaia / (not set),32,3,10.666666666666666,264.3333333333333,70,0,0
BEAM | Hospitality Gamechanger Summit,falstaff.com / referral,31,8,3.875,313.875,292,0,0
BEAM | Hospitality Gamechanger Summit,gaia.factory.it / referral,31,1,31,418,124,0,0
Diventa Partner - BEAM | Hospitality Gamechanger Summit,(direct) / (none),30,15,2,6.4,87,0,0
Tickets – BEAM | Hospitality Gamechanger Summit,social-adv / an,30,7,4.285714285714286,18.857142857142858,51,0,0
BEAM | Hospitality Gamechanger Summit,gaia / referral,29,3,9.666666666666666,635.3333333333334,615,0,0
Report - BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Stories,28,13,2.1538461538461537,11.692307692307692,91,0,0
Report scaricato - BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Reels,28,14,2,14.642857142857142,58,0,0
Tickets – BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Feed,28,27,1.037037037037037,15.62962962962963,47,0,0
Social - BEAM | Hospitality Gamechanger Summit,linkedin.com / referral,27,9,3,1.5555555555555556,85,0,0
Social – BEAM | Hospitality Gamechanger Summit,(direct) / (none),27,9,3,19.555555555555557,89,0,0
Wolfgang Töchterle – BEAM | Hospitality Gamechanger Summit,google / organic,27,8,3.375,19.5,58,0,0
BEAM | Hospitality Gamechanger Summit,hoteldomani / digitalpr,26,5,5.2,609.6,386,0,0
Participants - BEAM | Hospitality Gamechanger Summit,google / organic,25,8,3.125,127.5,50,0,0
Thomas Mur – BEAM | Hospitality Gamechanger Summit,google / organic,25,2,12.5,59.5,49,0,0
Tickets – BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Mobile_Feed,25,20,1.25,24.75,43,0,0
BEAM | Hospitality Gamechanger Summit,api.scraperforce.com / referral,24,14,1.7142857142857142,8.285714285714286,84,0,0
BEAM | Hospitality Gamechanger Summit,mail.google.com / referral,24,5,4.8,78.8,122,0,0
BEAM | Hospitality Gamechanger Summit,pambianconews / digitalpr,24,6,4,257.1666666666667,234,0,0
Footer EN – BEAM | Hospitality Gamechanger Summit,(direct) / (none),24,4,6,27.25,66,0,0
Partecipanti - BEAM | Hospitality Gamechanger Summit,(direct) / (none),24,14,1.7142857142857142,33.642857142857146,58,0,0
Teilnehmende - BEAM | Hospitality Gamechanger Summit,(direct) / (none),24,9,2.6666666666666665,206.66666666666666,58,0,0
Martin Luible – BEAM | Hospitality Gamechanger Summit,google / organic,23,4,5.75,32.75,51,0,0
Thomas Mur – BEAM | Hospitality Gamechanger Summit,(direct) / (none),23,1,23,105,41,0,0
Workshop – BEAM | Hospitality Gamechanger Summit,google / organic,23,2,11.5,1529.5,55,0,0
BEAM | Hospitality Gamechanger Summit,gast.at / referral,22,3,7.333333333333333,912,1369,0,0
Footer BEAM – BEAM | Hospitality Gamechanger Summit,google / organic,22,1,22,271,117,0,0
Footer – BEAM | Hospitality Gamechanger Summit,(direct) / (none),22,4,5.5,31.25,66,0,0
Hannes Offenbacher – BEAM | Hospitality Gamechanger Summit,(direct) / (none),22,4,5.5,38.5,44,0,0
Report - BEAM | Hospitality Gamechanger Summit,ig / social,22,8,2.75,39.375,72,0,0
Report - BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Desktop_Feed,22,9,2.4444444444444446,32.22222222222222,76,0,0
Report - BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Profile_Feed,22,8,2.75,13.25,68,0,0
Report – BEAM | Hospitality Gamechanger Summit,(not set),22,18,1.2222222222222223,16.61111111111111,38,0,0
Report – BEAM | Hospitality Gamechanger Summit,l.instagram.com / referral,22,13,1.6923076923076923,16.153846153846153,43,0,0
Social - BEAM | Hospitality Gamechanger Summit,advantageaustria.org / referral,22,1,22,166,56,0,0
Thomas Ortler – BEAM | Hospitality Gamechanger Summit,google / organic,22,8,2.75,23.625,56,0,0
BEAM | Hospitality Gamechanger Summit,it.search.yahoo.com / referral,21,9,2.3333333333333335,697.1111111111111,957,0,0
Partner werden – BEAM | Hospitality Gamechanger Summit,google / organic,21,7,3,55.857142857142854,50,0,0
Report – BEAM | Hospitality Gamechanger Summit,l.facebook.com / referral,21,13,1.6153846153846154,30.53846153846154,78,0,0
Labs - BEAM | Hospitality Gamechanger Summit,ecosia.org / organic,20,7,2.857142857142857,391.57142857142856,44,0,0
Partner – BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Right_Column,20,19,1.0526315789473684,0,20,0,0
Report scaricato - BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Mobile_Reels,20,9,2.2222222222222223,15.444444444444445,42,0,0
Martin Luible – BEAM | Hospitality Gamechanger Summit,(direct) / (none),19,2,9.5,53,35,0,0
Report scaricato – BEAM | Hospitality Gamechanger Summit,social-adv / {{placement}},19,13,1.4615384615384615,5.846153846153846,39,0,0
Tickets – BEAM | Hospitality Gamechanger Summit,bing / organic,19,8,2.375,39.875,41,0,0
Tickets – BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Right_Column,19,19,1,0,19,0,0
BEAM | Hospitality Gamechanger Summit,social-adv / {{placement}},18,10,1.8,9.8,61,0,0
BEAM | Hospitality Gamechanger Summit,zukunvt.com / referral,18,5,3.6,185,82,0,0
Labs - BEAM | Hospitality Gamechanger Summit,chatgpt.com / (not set),18,5,3.6,77.8,50,0,0
Labs - BEAM | Hospitality Gamechanger Summit,facebook instagram / paidsocial,18,1,18,571,38,0,0
Labs - BEAM | Hospitality Gamechanger Summit,statics.teams.cdn.office.net / referral,18,6,3,170.33333333333334,50,0,0
Labs - BEAM | Hospitality Gamechanger Summit,tt-consulting / Newsletter,18,3,6,129.33333333333334,36,0,0
Program - BEAM | Hospitality Gamechanger Summit,(direct) / (none),18,2,9,62,42,0,0
Report - BEAM | Hospitality Gamechanger Summit,social-adv / {{placement}},18,8,2.25,45.25,69,0,0
Viktor Matic – BEAM | Hospitality Gamechanger Summit,google / organic,18,7,2.5714285714285716,30.714285714285715,37,0,0
BEAM | Hospitality Gamechanger Summit,partner.gardatrentino.it / referral,17,4,4.25,301.5,193,0,0
Claudia Rier – BEAM | Hospitality Gamechanger Summit,(direct) / (none),17,5,3.4,25.6,35,0,0
Diventa partner – BEAM | Hospitality Gamechanger Summit,(direct) / (none),17,1,17,213,36,0,0
Program - BEAM | Hospitality Gamechanger Summit,google / organic,17,3,5.666666666666667,16.333333333333332,36,0,0
Speaker 2026 – BEAM | Hospitality Gamechanger Summit,(direct) / (none),17,3,5.666666666666667,20,37,0,0
BEAM | Hospitality Gamechanger Summit,forniturealberghiereonline.it / referral,16,6,2.6666666666666665,302.1666666666667,247,0,0
BEAM | Hospitality Gamechanger Summit,forum-csr.net / referral,16,7,2.2857142857142856,250.57142857142858,296,0,0
BEAM | Hospitality Gamechanger Summit,vogcoop.sharepoint.com / referral,16,8,2,75.875,134,0,0
Comunicati stampa – BEAM | Hospitality Gamechanger Summit,(direct) / (none),16,4,4,165.75,30,0,0
Il 19 e 20 maggio torna BEAM a Bolzano: l’evento per i professionisti del settore Hospitality – BEAM | Hospitality Gamechanger Summit,(direct) / (none),16,4,4,59,41,0,0
Labs - BEAM | Hospitality Gamechanger Summit,gcgo3.r.sp1-brevo.net / referral,16,2,8,82.5,38,0,0
Claudia Rier – BEAM | Hospitality Gamechanger Summit,google / organic,15,8,1.875,27.25,31,0,0
Heruntergeladener Report – BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Reels,15,13,1.1538461538461537,4.230769230769231,27,0,0
Moritz Dissertori – BEAM | Hospitality Gamechanger Summit,google / organic,15,10,1.5,14.9,31,0,0
Programma - BEAM | Hospitality Gamechanger Summit,advantageaustria.org / referral,15,1,15,318,31,0,0
Programma - BEAM | Hospitality Gamechanger Summit,google / organic,15,1,15,320,31,0,0
Report scaricato – BEAM | Hospitality Gamechanger Summit,google / organic,15,11,1.3636363636363635,12.818181818181818,45,0,0
Report scaricato – BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Stories,15,10,1.5,9.4,29,0,0
Report – BEAM | Hospitality Gamechanger Summit,tagassistant.google.com / referral,15,1,15,155,38,0,0
Thomas Aichner  – BEAM | Hospitality Gamechanger Summit,(direct) / (none),15,5,3,12.6,29,0,0
Tickets - BEAM | Hospitality Gamechanger Summit,statics.teams.cdn.office.net / referral,15,5,3,26.4,37,0,0
Ambitious Ambassadors - BEAM | Hospitality Gamechanger Summit,bing / organic,14,5,2.8,81,34,0,0
Ambitious Ambassadors – BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Right_Column,14,10,1.4,0,14,0,0
BEAM | Hospitality Gamechanger Summit,linktr.ee / referral,14,7,2,31.857142857142858,50,0,0
Diventa Partner - BEAM | Hospitality Gamechanger Summit,google / organic,14,6,2.3333333333333335,27.333333333333332,36,0,0
Diventa partner – BEAM | Hospitality Gamechanger Summit,mail.google.com / referral,14,1,14,198,30,0,0
Labs - BEAM | Hospitality Gamechanger Summit,l.instagram.com / referral,14,3,4.666666666666667,49.666666666666664,29,0,0
Partner - BEAM | Hospitality Gamechanger Summit,linkedin.com / referral,14,5,2.8,66,36,0,0
Programm - BEAM | Hospitality Gamechanger Summit,google / organic,14,2,7,49,31,0,0
Social - BEAM | Hospitality Gamechanger Summit,bing / organic,14,7,2,29.714285714285715,54,0,0
Thomas Ortler – BEAM | Hospitality Gamechanger Summit,(direct) / (none),14,4,3.5,19.25,33,0,0
BEAM | Hospitality Gamechanger Summit,sm_linkedin / (not set),13,2,6.5,197.5,38,0,0
BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Profile_Feed,13,8,1.625,178,203,0,0
Diventa Partner – BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Feed,13,9,1.4444444444444444,13,22,0,0
Hannes Offenbacher – BEAM | Hospitality Gamechanger Summit,google / organic,13,6,2.1666666666666665,18,30,0,0
Labs – BEAM | Hospitality Gamechanger Summit,lnkd.in / referral,13,1,13,386,29,0,0
Martin Luible - BEAM | Hospitality Gamechanger Summit,google / organic,13,6,2.1666666666666665,62.833333333333336,40,0,0
Report – BEAM | Hospitality Gamechanger Summit,bing / organic,13,9,1.4444444444444444,33.44444444444444,32,0,0
Thomas Aichner  – BEAM | Hospitality Gamechanger Summit,google / organic,13,5,2.6,13.2,25,0,0
Timer – BEAM | Hospitality Gamechanger Summit,(direct) / (none),13,2,6.5,38,25,0,0
BEAM | Hospitality Gamechanger Summit,manage.10times.com / referral,12,5,2.4,0.4,42,0,0
Christian Hamerle – BEAM | Hospitality Gamechanger Summit,google / organic,12,5,2.4,15.2,31,0,0
Claudia Rier - BEAM | Hospitality Gamechanger Summit,google / organic,12,4,3,56,32,0,0
Comunicati stampa - BEAM | Hospitality Gamechanger Summit,advantageaustria.org / referral,12,1,12,342,25,0,0
Dieter Frickel – BEAM | Hospitality Gamechanger Summit,(direct) / (none),12,5,2.4,20.2,24,0,0
Downloaded report” – BEAM | Hospitality Gamechanger Summit,l.instagram.com / referral,12,1,12,6,24,0,0
Heruntergeladener Report – BEAM | Hospitality Gamechanger Summit,google / organic,12,8,1.5,26.625,39,0,0
Heruntergeladener Report – BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Stories,12,10,1.2,3,24,0,0
